,heading,url,text
0,Welcome ,https://cdn.fs.teachablecdn.com/1N9dD3plRdGGdB9N2hId,Not avilable
1,What is Node ,https://cdn.fs.teachablecdn.com/tVgsVtj0QXqukKmYX9bZ,Not avilable
2,Node Architecture ,https://cdn.fs.teachablecdn.com/cDUvB6HuR7OLgFsmSblM,Not avilable
3,How Node Works ,https://cdn.fs.teachablecdn.com/slEM0SvSR968ZtK5TQSF,Not avilable
4,Installing Node ,https://cdn.fs.teachablecdn.com/Hwmsn92CR0uI42I5iglq,Not avilable
5,Your First Node Program ,https://cdn.fs.teachablecdn.com/fARRGIkQhiV2b75tF0wg,Not avilable
6,Course Structure ,https://cdn.fs.teachablecdn.com/dSIU1WpaQEu6Ek2fmoFn,Not avilable
7,Recap ,https://cdn.fs.teachablecdn.com/1IEIXXL8QrazhGomdlG8,Not avilable
8,Follow Me Around ,Not avilable,"Want to get updates about my upcoming courses and discount coupons? Follow me on these platforms:

Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh
YouTube: https://www.youtube.com/user/programmingwithmosh
LinkedIn: https://www.linkedin.com/in/mosh-hamedani/"
9,Learning Paths ,Not avilable,"I often get asked what courses to take and in what order to become a front-end, back-end, or a full-stack software engineer.

I've created some possible learning paths to help you decide what’s best for you. You can find them at:
https://codewithmosh.com/p/learning-paths"
10,Introduction ,https://cdn.fs.teachablecdn.com/4cCWFxSHSwKoeTzlVGws,Not avilable
11,Global Object ,https://cdn.fs.teachablecdn.com/60JgESfBQbKIdNdHZwJx,Not avilable
12,Modules ,https://cdn.fs.teachablecdn.com/EqNYP7dqRvy6loc0ePyk,Not avilable
13,Creating a Module ,https://cdn.fs.teachablecdn.com/MBsYntOUSX2bJL2GRzpZ,Not avilable
14,Loading a Module ,https://cdn.fs.teachablecdn.com/JZdx7ShGQimahqVwe4zd,Not avilable
15,Module Wrapper Function ,https://cdn.fs.teachablecdn.com/2kVI3xQR5CytTBBLbh5N,Not avilable
16,Path Module ,https://cdn.fs.teachablecdn.com/mRPjFGKTsuWX0wy9c0Ap,Not avilable
17,OS Module ,https://cdn.fs.teachablecdn.com/21nU7a6JQnW7yniHDo9r,Not avilable
18,File System Module ,https://cdn.fs.teachablecdn.com/7w4i8cQVOk8OYA0FuXhw,Not avilable
19,Events Module ,https://cdn.fs.teachablecdn.com/WMZs895SQiKdUlfCjaYV,Not avilable
20,Event Arguments ,https://cdn.fs.teachablecdn.com/ge2yQGizTOU9U2Ows3KC,Not avilable
21,Extending EventEmitter ,https://cdn.fs.teachablecdn.com/CKcgzlxxQBevBkX7EDIg,Not avilable
22,HTTP Module ,https://cdn.fs.teachablecdn.com/NJKh1y1aSAGKHy6K2xOj,Not avilable
23,Node Core Recap ,https://cdn.fs.teachablecdn.com/6d7RPW2dRtyz6ye6dKQg,Not avilable
24,Introduction ,https://cdn.fs.teachablecdn.com/2uxYRPnQPeBQnhXzkCQV,Not avilable
25,Package.json ,https://cdn.fs.teachablecdn.com/eZvEPw3ORIjxklrsJTA7,Not avilable
26,Installing a Node Package ,https://cdn.fs.teachablecdn.com/euSKDRanR8enZZLSWzbj,Not avilable
27,Using a Package ,https://cdn.fs.teachablecdn.com/wzTDOKaQYqrW0Fy74O1I,Not avilable
28,Package Dependencies ,https://cdn.fs.teachablecdn.com/y9OHS6mhRieFY4uHlBJS,Not avilable
29,NPM Packages and Source Control ,https://cdn.fs.teachablecdn.com/ebr1GdA6RI6PiWzVnvII,Not avilable
30,Semantic Versioning ,https://cdn.fs.teachablecdn.com/DL0ONlyjTXmLRm2Pwjzm,Not avilable
31,Listing the Installed Packages ,https://cdn.fs.teachablecdn.com/oN7SbqGZQ4aM55D4K4Rp,Not avilable
32,Viewing Registry Info for a Package ,https://cdn.fs.teachablecdn.com/U379HnCOTfK9JQZdDdE7,Not avilable
